Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CVX,"Chevron Corp",141.77,-2.31,-1.60%,144.57,144.76,141.425,6218315,"13:07 ET"
CW,"Curtiss-Wright Corp",354.03,9.1799999999999,+2.66%,348.76,356.175,347.815,105842,"13:06 ET"
CWEN,"Clearway Energy Inc Cl C",26.15,0.22,+0.85%,26.03,26.55,25.92,329874,"13:07 ET"
CWE.A,"Clearway Energy Inc [Cwen.A]",24.52,0.19,+0.78%,24.41,24.76,24.31,168391,"13:05 ET"
CXT,"Crane Nxt CO",56.71,-0.36,-0.63%,57.54,57.54,56.64,224732,"13:07 ET"
CZR,"Caesars Entertainment Inc",32.98,-0.9,-2.66%,34.245,34.93,32.94,3534204,"13:07 ET"
D,"Dominion Energy Inc",53.4,0.77,+1.46%,52.67,53.42,52.44,1788563,"13:06 ET"
DAL,"Delta Air Lines Inc",59.43,0.55,+0.93%,59.69,60.436,58.87,3500653,"13:07 ET"
DAR,"Darling International Inc",33.4,-0.29,-0.86%,33.87,34.82,32.83,811542,"13:07 ET"
DASH,"Doordash Inc Cl A",167.37,1.98,+1.20%,167.3,168.995,166.15,1326871,"13:07 ET"
DAY,"Dayforce Inc",72.97,-0.62,-0.84%,74.26,75.25,72.34,928696,"13:06 ET"
DBX,"Dropbox Inc",29.89,0.55,+1.87%,29.83,30.21,29.75,1167895,"13:07 ET"
DCI,"Donaldson Company",67.79,-0.51,-0.75%,68.65,69.14,67.85,227998,"13:06 ET"
DD,"Dupont Denemours Inc",76.93,-0.69,-0.89%,78.11,78.4,76.96,603686,"13:06 ET"
DDOG,"Datadog Inc Cl A",147.71,-2.49,-1.66%,150.5,151.7099,145.87,3032962,"13:07 ET"
DDS,Dillard's,431.25,-3.28,-0.75%,435.66,444.625,431.835,31004,"13:04 ET"
DE,"Deere & Company",423.69,-2.31,-0.54%,428.07,431.06,421.97,631045,"13:04 ET"
DECK,"Deckers Outdoor Corp",202.94,1.46,+0.72%,203.35,208.1,202.22,559785,"13:07 ET"
DELL,"Dell Technologies Inc",111.39,-1.28,-1.14%,114.23,115.51,111.7,4321766,"13:07 ET"
DFS,"Discover Financial Services",168.92,0.66,+0.39%,173.7,174.84,169.2702,853965,"13:07 ET"
DG,"Dollar General Corp",74.23,-1.71,-2.25%,75.58,75.82,72.81,1969638,"13:06 ET"
DGX,"Quest Diagnostics Inc",151.25,-0.07,-0.05%,150.13,151.65,149.07,244886,"13:06 ET"
DHI,"D.R. Horton",136.86,-4.91,-3.46%,135.4,140.73,135.0033,2186625,"13:06 ET"
DHR,"Danaher Corp",227.6,-0.7,-0.31%,228.1,231.07,226.815,1457436,"13:06 ET"
DINO,"HF Sinclair Corp",33.63,-1.07,-3.08%,34.88,35.0667,33.6,993556,"13:07 ET"
DIS,"Walt Disney Company",112.04,0.69000000000001,+0.62%,111.66,112.91,111.66,3569945,"13:07 ET"
DJT,"Trump Media & Technology Group Corp",35.33,0.009999999999998,+0.03%,35.5,36.64,34.92,5550343,"13:07 ET"
DKNG,"Draftkings Inc",38.86,0.11,+0.28%,39,39.32,38.26,4075120,"13:07 ET"
DKS,"Dick's Sporting Goods Inc",217.48,2.56,+1.19%,218.2,222.07,215.51,378361,"13:04 ET"
DLB,"Dolby Laboratories",77.23,0.060000000000002,+0.08%,77.55,77.99,76.7,80857,"13:03 ET"
DLR,"Digital Realty Trust",177.78,0.81999999999999,+0.46%,177.52,180.7,177.24,820189,"13:06 ET"
DLTR,"Dollar Tree Inc",69.5,0.23,+0.33%,69.47,69.66,68.17,937610,"13:07 ET"
DNB,"Dun & Bradstreet Holdings Inc",12.3,0.11,+0.90%,12.21,12.36,12.18,1872417,"13:07 ET"
DOC,"Healthpeak Properties Inc",19.87,-0.11,-0.55%,19.96,20.28,19.84,1790149,"13:06 ET"
DOCS,"Doximity Inc Cl A",54.89,2.7,+5.17%,52.26,55.3041,52.26,1373867,"13:07 ET"
DOCU,"Docusign Inc",93.82,1.11,+1.20%,94.06,95.42,92.42,1219937,"13:07 ET"
DOV,"Dover Corp",189.51,0.69999999999999,+0.37%,190.93,192.23,188.73,215730,"13:07 ET"
DOW,"Dow Inc",39.24,-0.91,-2.27%,40.06,40.58,39.125,4070042,"13:07 ET"
