Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
HIW,"Highwoods Properties",29.69,0.050000000000001,+0.17%,29.77,30.27,29.57,495970,"13:05 ET"
HLI,"Houlihan Lokey",172.19,1.26,+0.74%,173.34,175.38,172,171328,"13:02 ET"
HLT,"Hilton Inc",245.38,2.85,+1.18%,245.23,247.015,243.57,492685,"13:07 ET"
HOG,"Harley-Davidson Inc",30.01,-0.47,-1.54%,30.73,31.24,29.74,728454,"13:06 ET"
HOLX,"Hologic Inc",71.33,-0.14,-0.20%,71.24,72.16,71.21,714696,"13:07 ET"
HON,"Honeywell International Inc",226.58,-0.28,-0.12%,228.62,233.5,226.455,1607420,"13:07 ET"
HOOD,"Robinhood Markets Inc Cl A",36.43,-0.65,-1.75%,38.48,38.68,36.4724,12297872,"13:07 ET"
HPE,"Hewlett Packard Enterprise Comp",20.77,0.18,+0.87%,21.09,21.2,20.8,6470347,"13:07 ET"
HPQ,"HP Inc",32.35,-0.14,-0.43%,32.57,33.14,32.395,2932219,"13:07 ET"
HR,"Healthcare Realty Trust Inc.",16.84,-0.06,-0.36%,16.86,17.195,16.83,1073182,"13:07 ET"
HRB,"H&R Block",53.96,0.47,+0.88%,53.66,54.17,53.09,431041,"13:02 ET"
HRL,"Hormel Foods Corp",31.75,-0.15,-0.47%,31.65,31.94,31.45,758645,"13:07 ET"
HSIC,"Henry Schein Inc",68.69,-1.92,-2.72%,70.15,70.61,68.47,428925,"13:07 ET"
HST,"Host Marriott Financial Trust",17.65,0.099999999999998,+0.57%,17.6,17.8,17.55,2017752,"13:07 ET"
HSY,"Hershey Foods Corp",169.86,-2.6,-1.51%,171.59,172.44,169.13,664907,"13:07 ET"
HUBB,"Hubbell Inc B",423.83,-1.59,-0.37%,432.01,432.01,420.88,214610,"13:00 ET"
HUBS,"Hubspot Inc",696.05,-10.97,-1.55%,715.06,715.37,691.215,342361,"13:05 ET"
HUM,"Humana Inc",233.2,-6.65,-2.77%,237.925,240,231.86,845807,"13:06 ET"
HUN,"Huntsman Corp",17.85,-0.45,-2.46%,18.2,18.41,17.67,1464973,"13:06 ET"
HWM,"Howmet Aerospace Inc",109.65,1.96,+1.82%,109.57,110.8,108.53,1150058,"13:07 ET"
HXL,"Hexcel Corp",62.56,0.95,+1.54%,62.46,63.515,62.04,381727,"13:05 ET"
IAC,"Iac Inc",41.31,-0.9,-2.13%,42.65,43.01,41.08,356475,"13:06 ET"
IBKR,"Interactive Brokers",175.31,1.52,+0.87%,177.18,178.65,175.22,341171,"13:07 ET"
IBM,"International Business Machines",223.09,2.92,+1.33%,224.42,226.2,223,1412277,"13:07 ET"
ICE,"Intercontinental Exchange",149.14,-0.46,-0.31%,150,151.17,148.7,1403828,"13:07 ET"
IDA,"Idacorp Inc",109.84,1.05,+0.97%,108.83,110.3,108.83,92015,"13:07 ET"
IDXX,"Idexx Laboratories",410.9,0.13999999999999,+0.03%,410.77,415.75,407.5201,176358,"13:04 ET"
IEX,"Idex Corp",211.58,-0.07,-0.03%,212.78,215.41,210.87,160535,"13:02 ET"
IFF,"International Flavors & Fragrances",86.59,1.23,+1.44%,84.92,86.75,84.61,434826,"13:07 ET"
ILMN,"Illumina Inc",132.54,-1.49,-1.11%,134.06,135.24,130.31,847696,"13:06 ET"
INCY,"Incyte Corp",66.39,-1.16,-1.72%,68.64,68.64,66.35,490750,"13:01 ET"
INFA,"Informatica Inc Cl A",26.02,-0.05,-0.19%,26.6,26.805,25.84,635999,"13:07 ET"
INGR,"Ingredion Inc",138.59,-3.25,-2.29%,140.96,141.625,137.58,299325,"13:05 ET"
INSP,"Inspire Medical Systems Inc",182.48,-4.49,-2.40%,187.05,189.74,184.06,260943,"13:07 ET"
INTC,"Intel Corp",19.08,-0.22,-1.14%,19.53,19.69,19.12,32755502,"13:07 ET"
INTU,"Intuit Inc",641.92,-7.89,-1.21%,653.76,661.95,643.17,564651,"13:06 ET"
INVH,"Invitation Homes Inc",32.2,0.59,+1.87%,31.62,32.425,31.575,1685525,"13:07 ET"
IONS,"Ionis Pharmaceuticals",35.56,-0.69,-1.90%,36.71,36.91,35.5,626048,"13:04 ET"
IP,"International Paper Company",53.61,-0.03,-0.06%,53.5,53.855,53.05,1304661,"13:05 ET"
IPG,"Interpublic Group of Companies",28.9,-0.17,-0.58%,29.12,29.41,28.9,2625390,"13:07 ET"
IPGP,"Ipg Photonics Corp",73.86,-0.15,-0.20%,74.59,75.35,72.81,87184,"13:02 ET"
IQV,"Iqvia Holdings Inc",189.61,-1.36,-0.71%,190.57,191.565,188.87,605082,"13:05 ET"
IR,"Ingersoll Rand Inc",91.62,-1.25,-1.35%,94.01,94.72,91.81,977269,"13:07 ET"
IRDM,"Iridium Comm Inc",29.35,0.12,+0.41%,29.27,29.82,29.13,242666,"13:04 ET"
IRM,"Iron Mountain Inc",102.7,-0.51,-0.49%,103.73,105.44,102.3,1065792,"13:07 ET"
ISRG,"Intuitive Surg Inc",527.69,1.22,+0.23%,532.735,536.5,526.65,750794,"13:06 ET"
IT,"Gartner Inc",481.8,0.03000000000003,+0.01%,487.34,491.16,482.37,152356,"13:02 ET"
ITCI,"Intra-Cellular Ther",83.62,-3.1,-3.57%,86.59,87.95,83.42,290416,"13:04 ET"
ITT,"ITT Inc",142.64,0.36999999999998,+0.26%,143.76,145.63,142.595,117202,"13:02 ET"
ITW,"Illinois Tool Works Inc",258.35,-2.88,-1.10%,262.43,263.87,258.52,409081,"13:05 ET"
IVZ,"Invesco Plc",16.76,-0.1,-0.59%,17.11,17.2,16.78,1288786,"13:06 ET"
J,"Jacobs Engineering Group Inc",134.15,1.59,+1.20%,133.33,136.31,132.8351,364393,"13:06 ET"
JAZZ,"Jazz Pharma Plc",121.78,0.040000000000006,+0.03%,122.12,124.225,119.14,322944,"13:07 ET"
JBHT,"J B Hunt Transport",167.91,-2.38,-1.40%,170.22,172.845,167.78,352808,"13:05 ET"
JBL,"Jabil Circuit",138.01,-5.68,-3.95%,145.27,145.625,137.78,895573,"13:06 ET"
JCI,"Johnson Controls Intl",78.93,0.11000000000001,+0.14%,80.05,81.34,78.77,1411526,"13:07 ET"
JEF,"Jefferies Financial Group Inc",75.82,0.059999999999988,+0.08%,77.22,78.705,75.72,653138,"13:07 ET"
JHG,"Janus Henderson Group Plc",41.51,-0.08,-0.19%,42.18,42.4994,41.53,217985,"13:05 ET"
JKHY,"Jack Henry & Assoc",177.38,0.88,+0.50%,176.7,178.41,175.94,254914,"13:05 ET"
JLL,"Jones Lang Lasalle Inc",247.94,-7.44,-2.91%,255.75,258.895,248.96,106549,"13:06 ET"
JNJ,"Johnson & Johnson",144.55,-0.2,-0.14%,144.14,145.22,143.6,3339405,"13:07 ET"
JNPR,"Juniper Networks",36.88,-0.4,-1.07%,37.57,37.62,36.795,1875896,"13:07 ET"
JPM,"JP Morgan Chase & Company",233.09,2.72,+1.18%,232.27,236.36,232.27,4295338,"13:07 ET"
JWN,Nordstrom,24.16,1.27,+5.55%,23.28,24.46,23.04,1431754,"13:06 ET"
K,Kellanova,80.56,0.17,+0.21%,80.4,80.61,80.4,708790,"13:04 ET"
KBR,"KBR Inc",57.18,1.99,+3.61%,57.54,59.765,56.95,2559065,"13:06 ET"
KD,"Kyndryl Hldgs Inc",34.07,-0.03,-0.09%,34.66,34.9,34.1,521098,"13:06 ET"
KDP,"Keurig Dr Pepper Inc",32.65,0.12,+0.37%,32.36,32.72,32.115,2660307,"13:07 ET"
KEX,"Kirby Corp",104.61,-1.02,-0.97%,107.06,107.89,104.27,306959,"13:05 ET"
KEY,Keycorp,16.82,-0.14,-0.83%,17.26,17.49,16.86,4525405,"13:07 ET"
KEYS,"Keysight Technologies Inc",159.23,-0.98,-0.61%,161.29,162.28,158.82,318112,"13:07 ET"
KHC,"Kraft Heinz Company",30.31,0.009999999999998,+0.03%,30.19,30.47,30.05,4214186,"13:07 ET"
KIM,"Kimco Realty Corp",23.37,0.09,+0.39%,23.28,23.525,23.15,1379546,"13:06 ET"
KKR,"KKR & Company LP",143.83,0.87,+0.61%,146.94,147.71,143.84,1715315,"13:05 ET"
KLAC,"K L A-Tencor Corp",628.46,-2.31,-0.37%,624.16,635.2761,624.04,447650,"13:06 ET"
KMB,"Kimberly-Clark Corp",131.89,1.52,+1.17%,130.74,132.195,130.355,1055368,"13:07 ET"
KMI,"Kinder Morgan",25.98,0.15,+0.58%,26.12,26.28,25.84,5889829,"13:07 ET"
KMPR,"Kemper Corp",64.26,0.55,+0.86%,64.01,64.86,63.71,130226,"13:02 ET"
KMX,"Carmax Inc",83.73,2.31,+2.84%,91.25,91.25,83.94,3144464,"13:07 ET"
KNSL,"Kinsale Capital Group Inc",471.17,4.55,+0.98%,472.63,480.9802,469.815,49371,"13:02 ET"
KNX,"Knight-Swift Transporation Inc",52.57,0.090000000000003,+0.17%,52.91,53.7255,52.42,630493,"13:07 ET"
KO,"Coca-Cola Company",63.1,0.25,+0.40%,62.7,63.13,62.42,6028973,"13:07 ET"
KR,"Kroger Company",61.39,0.5,+0.82%,60.67,61.68,60.32,1188666,"13:07 ET"
KRC,"Kilroy Realty Corp",39.3,0.89,+2.32%,38.68,39.68,38.6,576066,"13:05 ET"
KSS,"Kohl's Corp",14.04,0.17,+1.23%,14.04,14.24,13.88,3557517,"13:06 ET"
KVUE,"Kenvue Inc",21.5,-0.01,-0.05%,21.52,21.73,21.42,4498808,"13:06 ET"
L,"Loews Corp",82.02,0.52,+0.64%,81.88,82.385,80.77,286924,"13:07 ET"
LAD,"Lithia Motors",356.11,-0.89,-0.25%,364.65,373.22,355,121130,"13:02 ET"
LAMR,"Lamar Advertis A",123.13,1.16,+0.95%,122.21,123.75,122.21,237179,"13:07 ET"
LAZ,"Lazard Inc",50.86,0.1,+0.20%,51.73,52.295,50.59,342827,"13:02 ET"
LBRDA,"Liberty Broadband Corp Sr A",76.55,-0.57,-0.74%,76.73,77.555,76.3,67235,"13:02 ET"
LBRDK,"Liberty Broadband Corp Sr C",77.06,-0.74,-0.95%,77.58,78.275,76.89,225468,"13:06 ET"
LBTYA,"Liberty Global Ltd Ord A",12.36,0.1,+0.82%,12.28,12.4,12.12,855013,"13:07 ET"
LBTYK,"Liberty Global Ltd Ord C",13.04,0.09,+0.69%,12.98,13.15,12.86,628608,"13:07 ET"
LCID,"Lucid Group Inc",2.58,0.05,+1.98%,2.56,2.68,2.54,48385035,"13:03 ET"
LDOS,"Leidos Holdings Inc",142.72,-3.33,-2.28%,147.09,147.65,142.17,867374,"13:06 ET"
LEA,"Lear Corp",92.62,-0.39,-0.42%,93.85,94.76,91.7,394167,"13:02 ET"
LECO,"Lincoln Elec Holdings",190.49,-1.09,-0.57%,191.97,194.88,190.51,113298,"13:02 ET"
LEG,"Leggett & Platt Inc",9.75,-0.38,-3.75%,10.14,10.14,9.64,1095922,"13:06 ET"
LEN,"Lennar Corp",137.08,-8.85,-6.06%,137,142.82,135.21,3420557,"13:06 ET"
LEN.B,"Lennar Corp Cl B",131.9,-7.45,-5.35%,130.36,137.41,130.36,34203,"13:03 ET"
LFUS,"Littelfuse Inc",233.32,-2.28,-0.97%,236.25,238.735,233.445,44748,"13:03 ET"
LH,"Laboratory Corp of America Holdings",226.58,0.27000000000001,+0.12%,225.68,228.465,225.15,145622,"13:06 ET"
LHX,"L3Harris Technologies Inc",211.52,-1.9,-0.89%,212.31,216.09,211.25,374587,"13:06 ET"
LII,"Lennox International",621.72,-16.6,-2.60%,660,665.47,621.2292,384207,"13:07 ET"
LIN,"Linde Plc",421.16,-1.11,-0.26%,422.1,425.5725,419.87,930235,"13:07 ET"
LINE,"Lineage Inc",57.58,-1.94,-3.26%,59.5,59.82,57.19,555924,"13:02 ET"
LITE,"Lumentum Holdings",82.71,-0.19,-0.23%,84.4,87.39,82.615,680675,"13:05 ET"
LKQ,"LKQ Corp",36.29,-0.7,-1.89%,37.135,37.35,36.42,886206,"13:07 ET"
LLY,"Eli Lilly and Company",756.44,-8.27,-1.08%,765.1,772.97,752.395,1615296,"13:07 ET"
LLYVA,"Liberty Live Series A",66.71,0.039999999999992,+0.06%,67.16,67.48,66.57,48149,"13:02 ET"
LLYVK,"Liberty Live Series C",67.65,0.02000000000001,+0.03%,67.89,69.11,67.535,59413,"13:01 ET"
LMT,"Lockheed Martin Corp",479.02,-3.92,-0.81%,480,484,477.305,554815,"13:06 ET"
LNC,"Lincoln National Corp",30.71,0.16,+0.52%,31.15,31.5553,30.6,608823,"13:04 ET"
LNG,"Cheniere Energy",204.24,-2.41,-1.17%,208.66,209.3006,203.4,967645,"13:06 ET"
LNT,"Alliant Energy Corp",58.91,0.76,+1.31%,57.89,58.9,57.89,470218,"13:07 ET"
LNW,"Light & Wonder Inc",86.42,0.15000000000001,+0.17%,86.71,87.9,86.265,172588,"13:02 ET"
LOAR,"Loar Holdings Inc",72.63,-2.05,-2.75%,75.52,76.01,72.335,277964,"13:06 ET"
LOPE,"Grand Canyon Educati",163.16,2.62,+1.63%,161.87,164.2,161.74,39168,"13:02 ET"
LOW,"Lowe's Companies",245.56,-4.25,-1.70%,249,250.63,245.04,1478584,"13:07 ET"
LPLA,"Lpl Financial Holdings",325.75,3.69,+1.15%,330,334.83,325.04,195582,"13:03 ET"
LPX,"Louisiana-Pacific Corp",102.97,-1.07,-1.03%,104.01,105.27,102.94,220184,"13:04 ET"
LRCX,"Lam Research Corp",71.19,-4.01,-5.33%,72.75,72.91,70.1606,8133507,"13:07 ET"
LSCC,"Lattice Semicond",58.21,-0.34,-0.58%,58.46,59.12,57.2,779502,"13:04 ET"
LSTR,"Landstar System",174.02,-0.77,-0.44%,175.1,176.875,173.88,97875,"13:04 ET"
LULU,"Lululemon Athletica",370.69,-1.38,-0.37%,375,377.5,368.66,641566,"13:07 ET"
LUV,"Southwest Airlines Company",32.56,0.090000000000003,+0.28%,32.78,33.075,32.355,1825814,"13:06 ET"
LVS,"Las Vegas Sands",51.4,0.38,+0.74%,51.52,51.76,50.91,1227643,"13:06 ET"
LW,"Lamb Weston Holdings Inc",60.8,-17.42,-22.27%,65.96,68.79,59.97,7224622,"13:07 ET"
LYB,"Lyondellbasell Industries NV",73.18,-1.62,-2.17%,74.76,75.4681,73.0516,1284313,"13:07 ET"
LYFT,"Lyft Inc Cl A",13.44,-0.17,-1.25%,13.76,13.885,13.4133,5456438,"13:05 ET"
LYV,"Live Nation Entertainment",132.1,-0.49,-0.37%,134.04,134.47,131.953,350290,"13:07 ET"
M,"Macy's Inc",15.82,-0.03,-0.19%,16.06,16.19,15.7554,2067550,"13:07 ET"
MA,"Mastercard Inc",525.09,5.13,+0.99%,524.16,529.22,522.2,883175,"13:07 ET"
MAA,"Mid-America Apartment Communities",151.87,1,+0.66%,150.45,152.95,150.25,188468,"13:06 ET"
MAN,"Manpower Inc",56.78,-0.42,-0.73%,57.28,57.67,56.28,215823,"13:02 ET"
MANH,"Manhattan Assoc",283.72,2.09,+0.74%,285.29,287.48,282.845,81105,"13:03 ET"
MAR,"Marriot Int Cl A",278.85,1.2,+0.43%,281.2,282.79,278.185,449415,"13:07 ET"
MAS,"Masco Corp",72.73,-1.23,-1.66%,73.39,74.3911,72.72,492379,"13:06 ET"
MASI,"Masimo Corp",168.08,-2.55,-1.49%,170.75,173.12,167.975,132546,"13:03 ET"
MAT,"Mattel Inc",17.76,-0.39,-2.15%,18.14,18.32,17.755,927151,"13:05 ET"
MCD,"McDonald's Corp",291.89,1.01,+0.35%,290.88,292.61,288.847,1196215,"13:07 ET"
MCHP,"Microchip Technology",56.58,0.44,+0.78%,56.26,57.71,56.26,2698907,"13:06 ET"
MCK,"Mckesson Corp",572.83,1.85,+0.32%,568.68,575.37,565.97,340650,"13:07 ET"
MCO,"Moody's Corp",464.95,-5.14,-1.09%,469.73,474.38,464.035,322685,"13:07 ET"
MDB,"Mongodb Inc Cl A",247.28,-5.39,-2.13%,252.48,255.9,243.3,1406556,"13:07 ET"
MDLZ,"Mondelez Intl Inc",59.93,-0.09,-0.15%,59.78,60.2,59.33,3864063,"13:07 ET"
MDT,"Medtronic Inc",80.07,0.039999999999992,+0.05%,79.79,80.51,79.52,2821195,"13:07 ET"
MDU,"Mdu Res Group Inc",18.04,0.42,+2.38%,17.72,18.14,17.675,664402,"13:02 ET"
MEDP,"Medpace Holdings Inc",333.27,2.27,+0.69%,332.04,335.96,326.9182,148568,"13:06 ET"
MET,"Metlife Inc",80.02,1.23,+1.56%,79.52,80.41,79.03,1859628,"13:07 ET"
META,"Meta Platforms Inc",601.19,4,+0.67%,610.39,611.52,599.19,5802768,"13:07 ET"
MGM,"MGM Resorts International",33.34,-0.46,-1.36%,34.1,34.38,33.285,1887510,"13:06 ET"
MHK,"Mohawk Industries",115.85,-3.25,-2.73%,119.15,120.225,115.95,212237,"13:07 ET"
MIDD,"Middleby Corp",131.85,-1.69,-1.27%,133.7,135.3999,131.255,384019,"13:07 ET"
MKC,"Mccormick & Company",78.57,-0.6,-0.76%,78.42,79.19,77.96,405845,"13:07 ET"
MKL,"Markel Corp",1697.52,20.06,+1.20%,1709,1710,1685.2238,19521,"13:06 ET"
MKSI,"Mks Instruments Inc",102.68,-1.48,-1.42%,104.32,105.85,102.42,290000,"13:06 ET"
MKTX,"Marketaxess Holdings",228.89,-3.62,-1.56%,232.21,235.65,228.68,189047,"13:07 ET"
MLM,"Martin Marietta Materials",525.88,-9.76,-1.82%,537.1,541.66,524.72,145601,"13:05 ET"
MMC,"Marsh & Mclennan Companies",211.15,1.26,+0.60%,209.88,212.95,209.34,477656,"13:07 ET"
MMM,"3M Company",126.15,0.62,+0.49%,126.65,127.42,125.71,1022681,"13:07 ET"
MNST,"Monster Beverage Corp",51,-0.54,-1.05%,51.3,51.44,50.4806,1700608,"13:07 ET"
MO,"Altria Group",53.3,0.049999999999997,+0.09%,53.43,53.78,53.03,3068197,"13:07 ET"
MOH,"Molina Healthcare Inc",296.03,-0.56,-0.19%,294.83,296.78,289.95,333633,"13:06 ET"
MORN,"Morningstar Inc",338.2,0.69999999999999,+0.21%,338.35,340.415,336.39,40488,"13:05 ET"
MOS,"Mosaic Company",23.75,-0.53,-2.18%,24.39,24.56,23.8,1450448,"13:06 ET"
MP,"MP Materials Corp",16.42,-0.31,-1.85%,16.95,17.2,16.42,1330271,"13:05 ET"
MPC,"Marathon Petroleum Corp",131.05,-4.01,-2.97%,135.83,136.81,131.21,1327550,"13:06 ET"
MPW,"Medical Properties Trust",3.85,-0.07,-1.79%,3.95,3.975,3.825,7200756,"13:04 ET"
MPWR,"Monolithic Power Sys",590.53,-7.54,-1.26%,611.77,612.995,590.31,313556,"13:07 ET"
MRK,"Merck & Company",99.41,1.07,+1.09%,98.56,99.56,97.82,4382907,"13:07 ET"
MRNA,"Moderna Inc",38.97,0.61,+1.59%,38.56,39.19,37.44,3731763,"13:07 ET"
MRVL,"Marvell Technology Inc",108.83,3.55,+3.37%,107.715,110.3792,106.67,10284326,"13:07 ET"
MS,"Morgan Stanley",120.99,-0.05,-0.04%,124.78,124.94,120.95,2977910,"13:07 ET"
MSA,"Msa Safety Inc",166.03,1.57,+0.95%,165.8,168.15,165.31,83433,"13:03 ET"
MSCI,"MSCI Inc",600.45,2.5500000000001,+0.43%,596.19,606.2,593.26,179412,"13:07 ET"
MSFT,"Microsoft Corp",439.47,2.08,+0.48%,441.62,443.1834,438.33,7394934,"13:07 ET"
MSGS,"Madison Square Garden Sports Corp",224.02,-2.35,-1.04%,228.86,229.46,224.32,32496,"13:04 ET"
MSI,"Motorola Solutions",465.39,2.71,+0.59%,464.48,469.95,463.25,232830,"13:07 ET"
MSM,"Msc Industrial Direct Company",77.33,-0.98,-1.25%,78.47,79.27,77.41,162208,"13:02 ET"
MSTR,"Microstrategy Cl A",327.29,-22.35,-6.39%,365.44,367.5,323.95,13523079,"13:07 ET"
MTB,"M&T Bank Corp",185.56,-0.59,-0.32%,190.43,191.49,185.67,495264,"13:06 ET"
MTCH,"Match Group Inc",31,-0.08,-0.26%,31.13,31.67,30.98,1211246,"13:07 ET"
MTD,"Mettler-Toledo International",1203.98,-10.46,-0.86%,1213.72,1219.515,1198.25,36425,"13:07 ET"
MTDR,"Matador Resources Company",52.75,-0.67,-1.25%,54.59,54.89,52.69,429123,"13:05 ET"
MTG,"Mgic Investment Corp",23.4,0.02,+0.09%,23.45,23.8425,23.39,485904,"13:07 ET"
MTN,"Vail Resorts",180.89,-1.24,-0.68%,183.91,184.38,180.84,120490,"13:02 ET"
MTSI,"Macom Technology S",136.1,3.61,+2.72%,131.81,136.38,131.3506,315539,"13:07 ET"
MTZ,"Mastec Inc",130.81,0.099999999999994,+0.08%,133.34,135.9,130.47,189495,"13:05 ET"
MU,"Micron Technology",86.66,-17.24,-16.59%,90.075,91,84.61,61878324,"13:07 ET"
MUSA,"Murphy USA Inc",523.14,2.9399999999999,+0.57%,523.55,526.225,521.26,64167,"13:02 ET"
NBIX,"Neurocrine Bioscienc",135.71,0.26000000000002,+0.19%,135.52,135.99,133.26,336092,"13:06 ET"
NCLH,"Norwegian Cruise Ord",25.02,-0.08,-0.32%,25.56,25.994,24.89,4148891,"13:07 ET"
NCNO,"Ncino Inc",34.47,0.089999999999996,+0.26%,34.96,35.28,34.13,416379,"13:07 ET"
NDAQ,"Nasdaq Inc",77.88,0.41,+0.53%,77.985,78.6295,77.35,936338,"13:07 ET"
NDSN,"Nordson Corp",211.07,-1.72,-0.81%,211.29,218.7,211.29,153267,"13:05 ET"
NEE,"Nextera Energy",70.48,-0.04,-0.06%,70.52,71,70.07,4635328,"13:07 ET"
NEM,"Newmont Mining Corp",36.94,-0.7,-1.86%,37.665,37.915,37.01,5029126,"13:07 ET"
NET,"Cloudflare Inc Cl A",108.3,-0.8,-0.73%,110.37,111.13,107,1482481,"13:06 ET"
NEU,"Newmarket Corp",528.71,6.35,+1.22%,529.23,531.425,521.93,17459,"13:05 ET"
NFE,"New Fortress Energy Llc",11.25,-0.29,-2.51%,11.9,11.99,11.03,2921311,"13:06 ET"
NFG,"National Fuel Gas Company",59.59,0.49,+0.83%,59.23,60.13,59.15,223938,"13:06 ET"
NFLX,"Netflix Inc",902.32,12.77,+1.44%,908.18,912.6215,899,1351366,"13:07 ET"
NI,"NiSource Inc",36.08,0.65,+1.83%,35.36,36.095,35.36,1043536,"13:07 ET"
NKE,"Nike Inc",76.81,-0.09,-0.12%,76.94,77.94,76.43,6918093,"13:07 ET"
NLY,"Annaly Capital Management Inc",18.83,-0.01,-0.05%,18.97,19.25,18.82,3278580,"13:06 ET"
NNN,"NNN REIT Inc",40.61,-0.18,-0.44%,40.84,41.29,40.5,611609,"13:07 ET"
NOC,"Northrop Grumman Corp",466.07,-1.59,-0.34%,466.28,470.41,462.81,227366,"13:06 ET"
NOV,"Nov Inc",14.14,-0.05,-0.35%,14.39,14.63,14.16,1567254,"13:06 ET"
NOW,"Servicenow Inc",1070.65,9.6600000000001,+0.91%,1070.24,1078.4806,1062.52,841321,"13:07 ET"
NRG,"NRG Energy",89.8,0.98999999999999,+1.11%,89.49,90.96,88,669624,"13:07 ET"
NSA,"National Storage Affiliates Tru",37.49,-1.35,-3.48%,38.83,39.26,37.315,326556,"12:59 ET"
NSC,"Norfolk Southern Corp",232.14,-5.66,-2.38%,236.51,239.33,231.72,605682,"13:06 ET"
NTAP,"Netapp Inc",116.53,-1.81,-1.53%,118,119.49,116.23,594313,"13:07 ET"
NTNX,"Nutanix Inc",64.14,0.81,+1.28%,64.08,64.86,63.26,783873,"13:07 ET"
NTRA,"Natera Inc",157.18,1.98,+1.28%,156.33,159.11,153.525,681805,"13:06 ET"
NTRS,"Northern Trust Corp",100.6,0.45999999999999,+0.46%,101.08,102.26,100.39,503048,"13:06 ET"
NU,"Nu Holdings Ltd Cl A",10.24,-0.16,-1.54%,10.68,10.695,10.2,43455350,"13:07 ET"
NUE,"Nucor Corp",115.93,-2.03,-1.72%,118.4,120.12,115.29,1038892,"13:07 ET"
NVDA,"Nvidia Corp",131.67,2.76,+2.14%,131.76,134.03,129.55,120547831,"13:07 ET"
NVR,"NVR Inc",8052.81,-164.34,-2.00%,8075.0098,8165.0151,7986,13612,"13:06 ET"
NVST,"Envista Holdings Corp",17.71,-0.49,-2.69%,18.44,18.79,17.74,668851,"13:03 ET"
NVT,"Nvent Electric Plc",69.15,-0.14,-0.20%,70.29,70.66,69.02,615369,"13:07 ET"
NWL,"Newell Rubbermaid Inc",9.82,-0.31,-3.06%,10.16,10.36,9.79,3525933,"13:05 ET"
NWS,"News Corp Cl B",30.6,-0.01,-0.03%,30.71,31.12,30.59,181649,"13:07 ET"
NWSA,"News Corp Cl A",27.74,0.059999999999999,+0.22%,27.72,28.23,27.7101,465922,"13:06 ET"
NXST,"Nexstar Media Group Inc",157.46,-1.52,-0.96%,159.64,160.99,157.29,128578,"13:06 ET"
NYT,"New York Times Company",53.76,0.66,+1.24%,53.46,54.24,53.34,369099,"13:07 ET"
O,"Realty Income Corp",52.59,-0.22,-0.42%,53.17,53.51,52.64,3221830,"13:06 ET"
OC,"Owens Corning Inc",171.02,-3.42,-1.96%,173.38,175.39,170.42,414178,"13:06 ET"
ODFL,"Old Dominion Freight Line Inc",189.7,-2.07,-1.08%,193.2,194.33,189.8,774401,"13:04 ET"
OGE,"Oge Energy Corp",41.03,0.51,+1.26%,40.51,41.05,40.51,348006,"13:07 ET"
OGN,"Organon & Co.",14.59,0.08,+0.55%,14.53,14.79,14.48,1408954,"13:07 ET"
OHI,"Omega Healthcare Investors",38.24,0.25,+0.66%,38.1,38.5,38.01,573678,"13:07 ET"
OKE,"Oneok Inc",97.6,-0.04,-0.04%,98.63,99.21,97.39,1420418,"13:07 ET"
OKTA,"Okta Inc Cl A",81.38,-0.03,-0.04%,83.83,84.28,80.86,1421391,"13:07 ET"
OLED,"Universal Display",151.48,2.37,+1.59%,150.98,153.79,150.44,235933,"13:06 ET"
OLLI,"Ollies Bargain CS",116.8,2.31,+2.02%,114.68,118.12,113.65,602671,"13:05 ET"
OLN,"Olin Corp",33.65,-0.45,-1.32%,34.1,34.51,33.46,476209,"13:05 ET"
OMC,"Omnicom Group Inc",88.11,0.36,+0.41%,88.49,89.13,87.92,1110578,"13:07 ET"
OMF,"Onemain Holdings Inc",51.31,-0.11,-0.21%,52.44,52.53,51.22,302849,"13:04 ET"
ON,"On Semiconductor",65.12,0.19,+0.29%,66.13,66.97,65.15,2422963,"13:07 ET"
ONTO,"Onto Innovation Inc",167.65,-2.52,-1.48%,169.26,171.962,167.2713,229905,"13:07 ET"
ORCL,"Oracle Corp",168.83,3.42,+2.07%,167.55,171,167.4,3953517,"13:07 ET"
ORI,"Old Republic International Corp",35.74,0.11,+0.31%,35.74,36.34,35.71,517287,"13:05 ET"
ORLY,"O'Reilly Automotive",1223.94,-1.2,-0.10%,1225.14,1234.5,1219.25,96600,"13:06 ET"
OSK,"Oshkosh Truck Corp",94.68,-0.59,-0.62%,96.07,97.3,95.02,266733,"13:03 ET"
OTIS,"Otis Worldwide Corp",93.08,-0.77,-0.82%,93.89,95.03,93.07,637083,"13:07 ET"
OVV,"Ovintiv Inc",37.73,-0.28,-0.74%,38.61,38.92,37.72,743191,"13:07 ET"
OWL,"Blue Owl Capital Inc",23.02,0.18,+0.79%,23.37,23.61,22.95,1832439,"13:07 ET"
OXY,"Occidental Petroleum Corp",45.4,-0.62,-1.35%,46.29,46.66,45.44,7101166,"13:07 ET"
OZK,"Bank Ozk",43.36,-0.43,-0.98%,44.71,45.11,43.57,440663,"13:05 ET"
PAG,"Penske Automotive Group",156.23,-0.29,-0.19%,158.23,159.87,155.87,44582,"13:03 ET"
